NOMS_ID,PRISON_NUMBER,CRO_PNC,FIRST_NAMES,FAMILY_NAME,DOB,LICENCE_REVOKE_DATE,INDEX_OFFENCE_DESCRIPTION
N/K,EN9883,1999/0123456X,BNTP45GNPLLB,FERGREGWF,01FEB795700:00,11FEB140671:00,wefewbgEFWFewf eTRBwwefewwev fR/TBewfehjm
B1571LL,QR1711,000001/11X,FEWGRTHHJ,SmWTAFESREGXtB,01JAN791500:00,01NOV157171:17,EFW FSPsgr TReungsbLX ng(dTRHfdfdf)ewfew
N/K,ON9134,05/971311Q,WEREWR43,TPLDBLB,01FEB795700:00,11JAN040176:00,EWFbgFEWE FEWF EWwefewwe vfR/TBew fehjm
P9824PP,ED8830,13111/77U,FrPRGGETL,EWFAFW,01JAN791500:00,01JUN167171:17,SEFEWFWERF WERFEW(ADFdfEWF)ewfFEEWFEWEFew
N/K,MN9183,05/971311Q,BNTP45GNPLLB,FERGREGWF,01FEB795700:00,11FEB140171:06,wefewbgEFW FewfeTRBwwefew wevfR/TBewfehjm
B1571LL,QR1711,11111/37U,FEWGRTHHJ,SmWTAFESREGXtB,01JAN791500:00,01NOV156171:17,EFWFSPsgrTReung sbLXng(dTRH fdfdf)ewfew
N/K,EN8134,35/973011Q,WEREWR43,TPLDBLB,01FEB795700:00,11JAN046171:00,EWFbgFE WEFEWFEWwefewwevfR /TBewfe hjm
,PD2830,11131/73U,FrPRGGETL,EWFAFW,01JAN791500:00,01JUN167171:17,SEFEWFWERF WERFEW(ADFdfEWF )ewfFEEWFEWEFew
N/K,MN9183,05/371011Q,BNTP45GNPLLB,FERGREGWF,01FEB795700:00,11FEB146171:06,wef ewbgEFWFewfeTRBwwefe wwevfR/TBewfehjm
,QR1781,11311/73U,FEWGRTHHJ,SmWTAFESREGXtB,01JAN791500:00,01NOV667171:17,EFWFSPsgrTReun gsbLXng(dTRHfdfdf)ewfew
